Year ,1,2,3,4,5,6,7,8,9,10
2024-25,A. Edwards (811),S. Curry (784),M. Beasley (766),J. Tatum (728),D. White (691),T. Herro (670),J. Harden (668),J. Green (661),T. Young (642),D. Mitchell (633)
2023-24,S. Curry (876),L. Dončić (744),D. DiVincenzo (705),K. Thompson (692),B. Bogdanović (641),D. Lillard (622),J. Tatum (609),J. Green (605),T. Hardaway (597),M. Bridges (592)
2022-23,K. Thompson (731),J. Tatum (686),B. Hield (677),M. Beasley (658),D. Lillard (658),S. Curry (639),J. Poole (637),J. Randle (636),D. Mitchell (635),F. VanVleet (606)
2021-22,S. Curry (750),B. Hield (716),D. Mitchell (654),J. Tatum (651),F. VanVleet (642),M. Beasley (637),D. Robinson (624),E. Fournier (619),S. Bey (610),T. Young (610)
2020-21,S. Curry (801),B. Hield (721),D. Lillard (704),D. Robinson (613),J. Clarkson (599),T. Rozier (571),L. Dončić (548),T. Hardaway (529),A. Edwards (520),J. Tatum (485)
2019-20,J. Harden (843),B. Hield (688),D. Lillard (674),D. Robinson (606),D. Graham (585),T. Young (568),L. Dončić (541),T. Hardaway (513),C. McCollum (512),T. Ross (504)
2018-19,J. Harden (1028),S. Curry (810),P. George (757),K. Walker (731),B. Hield (651),D. Lillard (643),D. Russell (635),J. Redick (605),E. Gordon (600),K. Thompson (599)
2017-18,J. Harden (722),D. Lillard (629),P. George (609),E. Gordon (608),K. Walker (601),K. Lowry (596),W. Ellington (579),R. Covington (550),D. Mitchell (550),A. Crabbe (532)
2016-17,S. Curry (789),J. Harden (756),E. Gordon (661),K. Thompson (647),I. Thomas (646),K. Walker (602),R. Westbrook (583),D. Lillard (579),T. Ariza (555),B. Beal (552)
2015-16,S. Curry (886),J. Harden (657),K. Thompson (650),D. Lillard (610),P. George (566),K. Lowry (547),W. Matthews (525),J. Smith (510),T. Ariza (499),K. Walker (490)
2014-15,S. Curry (646),D. Lillard (572),T. Ariza (555),J. Harden (555),K. Thompson (545),J. Redick (458),D. Green (457),K. Korver (449),L. Williams (447),R. Covington (446)
2013-14,S. Curry (615),D. Lillard (554),K. Thompson (535),W. Matthews (511),G. Green (510),K. Love (505),P. George (500),K. Lowry (500),R. Foye (498),K. Durant (491)
2012-13,S. Curry (600),R. Anderson (557),K. Thompson (526),D. Lillard (503),J. Harden (486),P. George (469),B. Jennings (461),J. Redick (451),D. Williams (447),N. Batum (444)
2011-12,R. Anderson (422),B. Jennings (388),J. Terry (365),K. Durant (344),D. Williams (342),W. Matthews (337),R. Foye (329),D. Granger (323),J. Johnson (322),M. Thornton (310)
2010-11,D. Wright (516),J. Richardson (479),K. Martin (459),M. Ginóbili* (441),C. Frye (439),K. Durant (414),D. Granger (407),J. Kidd* (391),D. Rose (385),T. Douglas (383)
2009-10,A. Brooks (525),D. Gallinari (488),J. Smith (467),D. Granger (438),R. Butler (432),J. Crawford (427),R. Lewis (423),J. Kidd* (414),A. Harrington (409),T. Ariza (407)